,0,0
0,4,4
1,4,3
2,4,3
3,3,4
4,3,3
5,3,4
6,3,4
7,4,4
8,3,3
9,3,3
10,3,4
11,4,3
12,3,3
13,4,3
14,4,4
15,4,3
16,4,3
17,4,4
18,2,4
19,4,3
20,4,3
21,3,4
22,3,4
23,3,3
24,0,4
25,4,3
26,4,3
27,3,3
28,4,3
29,3,4
30,4,3
31,3,4
32,3,4
33,3,3
34,4,3
35,4,3
36,3,4
37,3,3
38,4,3
39,4,3
40,4,3
41,4,3
42,4,4
43,4,3
44,3,4
45,3,3
46,4,4
47,3,3
48,3,3
49,3,3
50,3,3
51,3,4
52,3,4
53,4,3
54,4,3
55,3,3
56,4,3
57,4,4
58,4,3
59,3,3
60,3,3
61,3,4
62,4,4
63,4,4
64,3,3
65,2,4
66,3,3
67,3,3
68,3,3
69,4,4
70,3,3
71,4,4
72,4,3
73,3,3
74,4,3
75,3,3
76,4,3
77,4,4
78,3,3
79,3,3
80,4,4
81,4,3
82,3,3
83,4,3
84,3,4
85,3,4
86,3,3
87,3,4
88,0,4
89,4,4
90,4,3
91,4,4
92,4,3
93,3,3
94,3,4
95,4,4
96,4,3
97,3,3
98,3,3
99,3,3
100,3,4
101,3,4
102,3,4
103,4,3
104,3,3
105,4,4
106,2,4
107,3,4
108,3,4
109,4,4
110,4,4
111,4,3
112,3,3
113,4,4
114,4,4
115,4,3
116,4,3
117,3,4
118,4,4
119,2,4
120,4,4
121,3,3
122,4,4
123,4,3
124,3,3
125,4,3
126,3,4
127,3,4
128,3,3
129,4,4
130,4,3
131,3,3
132,4,4
133,3,4
134,0,4
135,3,4
136,4,4
137,4,3
138,3,4
139,3,4
140,3,4
141,4,3
142,4,3
143,4,4
144,4,3
145,3,3
146,3,4
147,4,4
148,3,3
149,4,3
150,3,4
151,4,3
152,4,4
153,3,4
154,4,3
155,4,3
156,3,3
157,4,3
158,3,3
159,3,4
160,3,4
161,3,3
162,3,3
163,3,4
164,4,3
165,4,3
166,3,4
167,4,3
168,4,3
169,3,3
170,3,4
171,3,4
172,4,3
173,3,3
174,3,4
175,3,3
176,0,3
177,4,3
178,3,3
179,3,3
180,0,3
181,3,4
182,3,4
183,3,4
184,3,3
185,3,3
186,3,4
187,3,3
188,4,3
189,4,3
190,4,3
191,4,4
192,4,4
193,4,3
194,3,4
195,3,4
196,4,3
197,3,4
198,3,3
199,3,4
200,3,3
201,3,3
202,3,4
203,0,3
204,4,3
205,3,3
206,3,3
207,3,3
208,4,3
209,4,4
210,3,3
211,2,3
212,2,4
213,4,3
214,0,2
215,3,3
216,4,4
217,4,3
218,4,4
219,3,3
220,4,3
221,3,4
222,3,3
223,4,4
224,3,4
225,4,3
226,3,3
227,4,3
228,0,3
229,3,3
230,3,3
231,3,4
232,3,3
233,4,4
234,0,4
235,3,4
236,4,3
237,3,3
238,3,3
239,4,3
240,4,3
241,4,3
242,3,3
243,4,4
244,4,4
245,4,4
246,4,4
247,4,3
248,4,3
249,0,4
250,3,3
251,3,3
252,4,4
253,3,3
254,4,3
255,3,3
256,3,3
257,4,3
258,4,4
259,3,4
